animeID,name,premiered,genre,type,episodes,producer,licensor,studio,source,scored,scoredBy,members
1,Cowboy Bebop,Spring 1998,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,26,['Bandai Visual'],"['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,8.81,420860,830945
5,Cowboy Bebop: Tengoku no Tobira,None,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",Movie,1,"['Sunrise', 'Bandai Visual']",['Sony Pictures Entertainment'],['Bones'],Original,8.41,123631,204730
6,Trigun,Spring 1998,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",TV,26,['Victor Entertainment'],"['Funimation', 'Geneon Entertainment USA']",['Madhouse'],Manga,8.3,217940,422027
7,Witch Hunter Robin,Summer 2002,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",TV,26,['Bandai Visual'],"['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,7.33,33215,81116
8,Bouken Ou Beet,Fall 2004,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",TV,52,"['TV Tokyo', 'Dentsu']",[],['Toei Animation'],Manga,7.03,4940,11889
15,Eyeshield 21,Spring 2005,"['Action', 'Sports', 'Comedy', 'Shounen']",TV,145,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']","['Viz Media', 'Sentai Filmworks']",['Studio Gallop'],Manga,8.03,53238,118155
16,Hachimitsu to Clover,Spring 2005,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",TV,24,"['Genco', 'Fuji TV', 'Shueisha']",['Viz Media'],['J.C.Staff'],Manga,8.12,58035,176466
17,Hungry Heart: Wild Striker,Fall 2002,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",TV,52,[],[],['Nippon Animation'],Manga,7.67,9443,17513
18,Initial D Fourth Stage,Spring 2004,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",TV,24,"['OB Planning', 'Studio Jack']",['Funimation'],['A.C.G.T.'],Manga,8.22,44469,77380
19,Monster,Spring 2004,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",TV,74,"['VAP', 'Shogakukan Productions', 'Nippon Television Network']",['Viz Media'],['Madhouse'],Manga,8.69,135962,411197
20,Naruto,Fall 2002,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",TV,220,"['TV Tokyo', 'Aniplex', 'Shueisha']",['Viz Media'],['Studio Pierrot'],Manga,7.91,744451,1138918
21,One Piece,Fall 1999,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",TV,None,"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],Manga,8.53,482946,840886
22,Tennis no Ouji-sama,Fall 2001,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",TV,178,"['Production I.G', 'Nihon Ad Systems']",['Viz Media'],['Trans Arts'],Manga,7.99,51139,116132
23,Ring ni Kakero 1,Fall 2004,"['Action', 'Shounen', 'Sports']",TV,12,[],[],['Toei Animation'],Manga,6.54,849,3041
24,School Rumble,Fall 2004,"['Comedy', 'Romance', 'School', 'Shounen']",TV,26,"['TV Tokyo', 'Sotsu', 'Marvelous', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",['Funimation'],['Studio Comet'],Manga,8.01,107485,231755
25,Sunabouzu,Fall 2004,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",TV,24,"['GDH', 'Pony Canyon', 'CBC']",['Funimation'],['Gonzo'],Manga,7.5,36869,92197
26,Texhnolyze,Spring 2003,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",TV,22,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],Original,7.77,33026,142945
